claim_id,agent_action,agent_confidence,agent_reasoning,risk_score,requires_human_review,sla_hours,investigation_depth,fraud_probability,expected_fraud_loss,explanation_summary,anomalies
521585,deny,1.0,Fraud probability 100.0% exceeds auto-deny threshold.,100,True,72,,1.0,57288.0,Claim 521585 denied with 100% confidence. Risk score: 100/100.,Claim-to-premium ratio extremely high (>20x)
342868,approve,1.0,Fraud probability 0.0% below threshold. No anomalies detected.,0,False,24,,0.0,0.0,Claim 342868 approved with 100% confidence. Risk score: 0/100.,
687698,approve,1.0,Selected approve based on expected value $100.0. Prevents estimated $0 in fraud losses at cost of $0.,10,False,24,,0.0,0.0,Claim 687698 approved with 100% confidence. Risk score: 10/100.,Claim-to-premium ratio extremely high (>20x)
227811,deny,1.0,Fraud probability 100.0% exceeds auto-deny threshold.,100,True,72,,1.0,50720.0,Claim 227811 denied with 100% confidence. Risk score: 100/100.,Claim-to-premium ratio extremely high (>20x)
367455,approve,1.0,Fraud probability 0.0% below threshold. No anomalies detected.,0,False,24,,0.0,0.0,Claim 367455 approved with 100% confidence. Risk score: 0/100.,
104594,deny,1.0,Fraud probability 100.0% exceeds auto-deny threshold.,100,True,72,,1.0,51280.0,Claim 104594 denied with 100% confidence. Risk score: 100/100.,Claim-to-premium ratio extremely high (>20x)
413978,deny,1.0,Fraud probability 100.0% exceeds auto-deny threshold.,100,True,72,,1.0,62920.0,Claim 413978 denied with 100% confidence. Risk score: 100/100.,Claim-to-premium ratio extremely high (>20x)
429027,deny,1.0,Fraud probability 100.0% exceeds auto-deny threshold.,100,True,72,,1.0,41272.0,Claim 429027 denied with 100% confidence. Risk score: 100/100.,Claim-to-premium ratio extremely high (>20x)
485665,approve,1.0,Fraud probability 0.0% below threshold. No anomalies detected.,0,False,24,,0.0,0.0,Claim 485665 approved with 100% confidence. Risk score: 0/100.,
636550,approve,1.0,Selected approve based on expected value $100.0. Prevents estimated $0 in fraud losses at cost of $0.,10,False,24,,0.0,0.0,Claim 636550 approved with 100% confidence. Risk score: 10/100.,Claim-to-premium ratio extremely high (>20x)
543610,deny,1.0,Fraud probability 100.0% exceeds auto-deny threshold.,100,True,72,,1.0,69608.0,Claim 543610 denied with 100% confidence. Risk score: 100/100.,Claim-to-premium ratio extremely high (>20x)
214618,deny,1.0,Fraud probability 100.0% exceeds auto-deny threshold.,100,True,72,,1.0,91936.0,Claim 214618 denied with 100% confidence. Risk score: 100/100.,Claim-to-premium ratio extremely high (>20x)
842643,deny,1.0,Fraud probability 100.0% exceeds auto-deny threshold.,100,True,72,,1.0,45216.0,Claim 842643 denied with 100% confidence. Risk score: 100/100.,Claim-to-premium ratio extremely high (>20x)
626808,approve,1.0,Fraud probability 0.0% below threshold. No anomalies detected.,0,False,24,,0.0,0.0,Claim 626808 approved with 100% confidence. Risk score: 0/100.,
644081,approve,1.0,Selected approve based on expected value $100.0. Prevents estimated $0 in fraud losses at cost of $0.,10,False,24,,0.0,0.0,Claim 644081 approved with 100% confidence. Risk score: 10/100.,Claim-to-premium ratio extremely high (>20x)
892874,deny,1.0,Fraud probability 100.0% exceeds auto-deny threshold.,100,True,72,,1.0,50496.0,Claim 892874 denied with 100% confidence. Risk score: 100/100.,Claim-to-premium ratio extremely high (>20x)
