claim_id,months_as_customer,age,policy_annual_premium,incident_severity,incident_type,collision_type,authorities_contacted,witness_present,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported,claim_status,settlement_amount
C00000,103,48,1525.96,Trivial Damage,Parked Car,Front Collision,Police,No,Yes,390.12,126.38,107.83,155.91,N,Open,0.0
C00001,180,65,2388.88,Minor Damage,Multi-Vehicle,No Collision,Police,No,Yes,3726.01,1133.05,1411.01,1181.95,N,Closed,3490.0
C00002,93,32,1072.0,Trivial Damage,Multi-Vehicle,No Collision,None,No,Yes,524.42,86.39,159.77,278.26,N,Open,0.0
C00003,15,25,692.45,Trivial Damage,Vehicle Theft,No Collision,Police,No,No,936.58,311.18,458.46,166.94,N,Open,0.0
C00004,107,31,1224.38,Minor Damage,Single Vehicle,Side Collision,Police,No,Yes,1497.19,437.7,720.9,338.59,N,Closed,1331.27
C00005,72,40,903.05,Minor Damage,Parked Car,No Collision,None,No,No,1724.93,45.88,728.5,950.55,N,Open,0.0
C00006,189,77,2824.24,Minor Damage,Vehicle Theft,No Collision,None,No,No,3297.89,1110.5,797.86,1389.52,N,Open,0.0
C00007,21,74,2520.3,Minor Damage,Vehicle Theft,No Collision,Fire,No,Yes,4181.07,337.21,1041.49,2802.37,Y,Open,0.0
C00008,103,79,2083.51,Major Damage,Parked Car,Rear Collision,Ambulance,Yes,No,6642.66,2164.38,2654.13,1824.15,N,Open,0.0
C00009,122,57,2678.65,Minor Damage,Multi-Vehicle,Side Collision,Police,Yes,Unknown,3092.26,443.84,1432.21,1216.21,N,Open,0.0
C00010,211,38,2509.18,Minor Damage,Vehicle Theft,No Collision,Police,No,Yes,2569.78,839.39,852.5,877.89,N,Open,0.0
C00011,215,33,966.43,Major Damage,Multi-Vehicle,Front Collision,Police,No,Yes,8769.44,1622.98,2546.76,4599.7,N,Closed,7495.46
C00012,75,62,2731.4,Minor Damage,Single Vehicle,Front Collision,Ambulance,No,No,3990.44,802.43,1076.08,2111.93,N,Open,0.0
C00013,203,35,1848.36,Major Damage,Multi-Vehicle,Front Collision,None,Yes,No,13995.75,2149.14,5081.38,6765.23,Y,Open,0.0
C00014,88,64,2518.6,Minor Damage,Single Vehicle,Side Collision,None,No,Yes,4625.89,1155.06,1087.4,2383.42,N,Closed,4623.23
C00015,117,70,2740.23,Minor Damage,Multi-Vehicle,Side Collision,None,No,Yes,4759.33,1194.99,1430.04,2134.3,N,Closed,4213.13
C00016,100,41,1295.01,Trivial Damage,Vehicle Theft,Front Collision,Police,No,Yes,225.34,71.57,86.99,66.79,N,Closed,200.62
C00017,104,43,775.13,Minor Damage,Vehicle Theft,No Collision,Police,No,Yes,3133.84,1120.53,1368.17,645.15,N,Closed,2609.63
C00018,152,42,1069.84,Minor Damage,Single Vehicle,Side Collision,Police,No,No,1606.7,200.34,441.11,965.25,N,Open,0.0
C00019,131,77,1567.77,Minor Damage,Parked Car,Front Collision,Fire,No,Yes,3975.79,53.33,1474.88,2447.57,N,Open,0.0
C00020,150,77,2545.04,Total Loss,Single Vehicle,Front Collision,Police,No,Yes,41686.05,14619.56,12615.22,14451.27,N,Open,0.0
C00021,53,77,2651.83,Minor Damage,Single Vehicle,No Collision,None,Yes,No,4285.03,189.62,1945.13,2150.28,N,Open,0.0
C00022,2,62,517.38,Major Damage,Multi-Vehicle,Rear Collision,Police,Yes,Yes,6274.89,997.17,2755.86,2521.85,N,Open,0.0
C00023,88,58,1776.87,Minor Damage,Multi-Vehicle,Side Collision,Police,No,Yes,1599.67,146.69,666.54,786.44,N,Open,0.0
C00024,236,46,1543.53,Major Damage,Single Vehicle,No Collision,Police,No,No,12200.37,3128.89,4980.0,4091.47,Y,Closed,0.0
C00025,158,32,1055.27,Minor Damage,Vehicle Theft,Front Collision,None,No,No,3170.9,319.37,963.03,1888.5,N,Open,0.0
C00026,38,62,799.66,Minor Damage,Multi-Vehicle,Front Collision,Ambulance,No,Yes,1726.39,627.34,647.43,451.63,N,Open,0.0
C00027,130,18,1344.04,Minor Damage,Parked Car,No Collision,Police,No,Yes,2603.41,481.12,1260.53,861.76,Y,Open,0.0
C00028,192,42,2857.27,Trivial Damage,Multi-Vehicle,Side Collision,Police,No,Yes,238.02,55.81,83.73,98.48,Y,Open,0.0
C00029,188,24,1308.01,Major Damage,Multi-Vehicle,Rear Collision,None,No,Yes,11114.54,80.51,5130.89,5903.14,N,Open,0.0
C00030,21,26,1796.98,Minor Damage,Parked Car,Rear Collision,Police,No,Yes,4728.47,1068.89,1933.92,1725.66,N,Closed,4534.42
C00031,161,41,2257.55,Trivial Damage,Single Vehicle,Front Collision,None,Yes,Yes,930.25,263.16,228.62,438.47,N,Open,0.0
C00032,204,18,1409.07,Minor Damage,Parked Car,Side Collision,None,No,Yes,3305.15,802.11,1081.58,1421.46,Y,Open,0.0
C00033,58,61,2929.46,Trivial Damage,Single Vehicle,Rear Collision,Police,Yes,Yes,762.8,285.09,364.37,113.34,N,Open,0.0
C00034,22,25,2906.12,Total Loss,Single Vehicle,Side Collision,Police,No,Yes,30779.38,1394.16,15249.72,14135.5,N,Closed,28893.73
C00035,236,41,1129.46,Total Loss,Single Vehicle,Side Collision,None,No,Yes,44361.43,2212.09,21127.25,21022.1,N,Open,0.0
C00036,89,28,1743.12,Total Loss,Parked Car,Front Collision,Police,Yes,Yes,45446.37,9431.72,17150.67,18863.98,N,Open,0.0
C00037,49,68,1252.2,Minor Damage,Single Vehicle,Rear Collision,Police,No,Yes,2596.01,56.86,780.25,1758.89,N,Open,0.0
C00038,219,34,1212.1,Trivial Damage,Vehicle Theft,No Collision,None,No,Yes,822.57,1.52,246.81,574.23,N,Open,0.0
C00039,59,25,592.22,Total Loss,Parked Car,Front Collision,None,No,No,28935.9,6220.01,13772.24,8943.66,N,Closed,24426.35
C00040,170,52,2023.91,Minor Damage,Vehicle Theft,Rear Collision,None,Yes,Yes,2385.38,331.05,1004.84,1049.49,N,Closed,1947.61
C00041,220,52,1756.7,Total Loss,Single Vehicle,Rear Collision,None,No,No,30827.63,2769.61,10349.82,17708.2,Y,Open,0.0
C00042,188,50,628.7,Total Loss,Multi-Vehicle,Rear Collision,Police,No,No,19930.0,1406.16,6965.74,11558.1,N,Closed,18656.47
C00043,208,76,1196.62,Major Damage,Single Vehicle,Rear Collision,Police,No,Yes,9189.25,3362.7,2836.89,2989.66,Y,Closed,0.0
C00044,15,22,2770.66,Minor Damage,Vehicle Theft,Rear Collision,None,No,Yes,3322.35,840.24,677.52,1804.59,N,Closed,3092.78
C00045,190,59,1098.9,Minor Damage,Vehicle Theft,Side Collision,Fire,No,Yes,3654.15,260.23,1784.4,1609.52,N,Closed,3123.03
C00046,190,56,862.24,Major Damage,Parked Car,Front Collision,Police,No,Yes,6486.63,1075.8,1463.41,3947.41,N,Open,0.0
C00047,175,75,1723.63,Minor Damage,Multi-Vehicle,Side Collision,None,No,No,4987.5,1001.88,1888.34,2097.27,N,Open,0.0
C00048,190,58,2964.13,Trivial Damage,Parked Car,No Collision,Police,No,Yes,160.37,48.11,42.17,70.09,N,Open,0.0
C00049,51,45,1105.14,Minor Damage,Vehicle Theft,Rear Collision,Police,No,Yes,4592.22,376.82,1181.15,3034.25,N,Closed,4547.09
C00050,108,24,2180.34,Total Loss,Single Vehicle,Front Collision,Police,Yes,Yes,16279.24,3073.96,6014.4,7190.88,N,Open,0.0
C00051,55,26,2404.05,Minor Damage,Multi-Vehicle,Rear Collision,Police,Yes,Yes,1262.83,391.75,424.3,446.79,N,Closed,1048.42
C00052,64,25,1094.09,Minor Damage,Single Vehicle,Front Collision,Police,No,No,3097.56,546.12,991.93,1559.52,N,Closed,2745.88
C00053,131,29,2320.54,Trivial Damage,Single Vehicle,Side Collision,Police,No,Yes,603.68,37.49,153.68,412.51,N,Open,0.0
